"city","year","weekofyear","total_cases"
"sj",2008,18,13
"sj",2008,19,12
"sj",2008,20,16
"sj",2008,21,23
"sj",2008,22,18
"sj",2008,23,17
"sj",2008,24,18
"sj",2008,25,25
"sj",2008,26,18
"sj",2008,27,15
"sj",2008,28,14
"sj",2008,29,18
"sj",2008,30,11
"sj",2008,31,22
"sj",2008,32,17
"sj",2008,33,26
"sj",2008,34,15
"sj",2008,35,19
"sj",2008,36,26
"sj",2008,37,18
"sj",2008,38,23
"sj",2008,39,26
"sj",2008,40,28
"sj",2008,41,25
"sj",2008,42,30
"sj",2008,43,23
"sj",2008,44,25
"sj",2008,45,32
"sj",2008,46,32
"sj",2008,47,23
"sj",2008,48,23
"sj",2008,49,21
"sj",2008,50,15
"sj",2008,51,16
"sj",2008,52,19
"sj",2009,1,4
"sj",2009,2,6
"sj",2009,3,5
"sj",2009,4,6
"sj",2009,5,5
"sj",2009,6,7
"sj",2009,7,6
"sj",2009,8,7
"sj",2009,9,4
"sj",2009,10,7
"sj",2009,11,8
"sj",2009,12,5
"sj",2009,13,9
"sj",2009,14,6
"sj",2009,15,7
"sj",2009,16,9
"sj",2009,17,11
"sj",2009,18,9
"sj",2009,19,9
"sj",2009,20,8
"sj",2009,21,7
"sj",2009,22,9
"sj",2009,23,13
"sj",2009,24,13
"sj",2009,25,13
"sj",2009,26,16
"sj",2009,27,17
"sj",2009,28,17
"sj",2009,29,15
"sj",2009,30,17
"sj",2009,31,17
"sj",2009,32,17
"sj",2009,33,18
"sj",2009,34,17
"sj",2009,35,25
"sj",2009,36,28
"sj",2009,37,23
"sj",2009,38,26
"sj",2009,39,23
"sj",2009,40,32
"sj",2009,41,23
"sj",2009,42,22
"sj",2009,43,28
"sj",2009,44,24
"sj",2009,45,29
"sj",2009,46,26
"sj",2009,47,36
"sj",2009,48,22
"sj",2009,49,19
"sj",2009,50,25
"sj",2009,51,15
"sj",2009,52,27
"sj",2010,53,25
"sj",2010,1,6
"sj",2010,2,8
"sj",2010,3,5
"sj",2010,4,6
"sj",2010,5,5
"sj",2010,6,6
"sj",2010,7,8
"sj",2010,8,12
"sj",2010,9,9
"sj",2010,10,14
"sj",2010,11,13
"sj",2010,12,13
"sj",2010,13,9
"sj",2010,14,13
"sj",2010,15,8
"sj",2010,16,11
"sj",2010,17,13
"sj",2010,18,15
"sj",2010,19,12
"sj",2010,20,10
"sj",2010,21,12
"sj",2010,22,15
"sj",2010,23,17
"sj",2010,24,12
"sj",2010,25,15
"sj",2010,26,16
"sj",2010,27,15
"sj",2010,28,17
"sj",2010,29,16
"sj",2010,30,13
"sj",2010,31,15
"sj",2010,32,24
"sj",2010,33,23
