"city","year","weekofyear","total_cases"
"sj",2008,18,11
"sj",2008,19,11
"sj",2008,20,14
"sj",2008,21,18
"sj",2008,22,16
"sj",2008,23,16
"sj",2008,24,17
"sj",2008,25,20
"sj",2008,26,18
"sj",2008,27,15
"sj",2008,28,15
"sj",2008,29,17
"sj",2008,30,13
"sj",2008,31,20
"sj",2008,32,18
"sj",2008,33,23
"sj",2008,34,17
"sj",2008,35,19
"sj",2008,36,25
"sj",2008,37,18
"sj",2008,38,20
"sj",2008,39,26
"sj",2008,40,23
"sj",2008,41,22
"sj",2008,42,23
"sj",2008,43,18
"sj",2008,44,21
"sj",2008,45,24
"sj",2008,46,23
"sj",2008,47,19
"sj",2008,48,18
"sj",2008,49,16
"sj",2008,50,13
"sj",2008,51,13
"sj",2008,52,14
"sj",2009,1,5
"sj",2009,2,6
"sj",2009,3,6
"sj",2009,4,7
"sj",2009,5,6
"sj",2009,6,7
"sj",2009,7,6
"sj",2009,8,7
"sj",2009,9,5
"sj",2009,10,7
"sj",2009,11,7
"sj",2009,12,5
"sj",2009,13,8
"sj",2009,14,6
"sj",2009,15,7
"sj",2009,16,9
"sj",2009,17,10
"sj",2009,18,9
"sj",2009,19,9
"sj",2009,20,8
"sj",2009,21,8
"sj",2009,22,9
"sj",2009,23,12
"sj",2009,24,12
"sj",2009,25,12
"sj",2009,26,15
"sj",2009,27,16
"sj",2009,28,17
"sj",2009,29,15
"sj",2009,30,17
"sj",2009,31,17
"sj",2009,32,17
"sj",2009,33,18
"sj",2009,34,17
"sj",2009,35,21
"sj",2009,36,23
"sj",2009,37,20
"sj",2009,38,21
"sj",2009,39,21
"sj",2009,40,25
"sj",2009,41,22
"sj",2009,42,20
"sj",2009,43,22
"sj",2009,44,21
"sj",2009,45,22
"sj",2009,46,21
"sj",2009,47,23
"sj",2009,48,17
"sj",2009,49,16
"sj",2009,50,19
"sj",2009,51,14
"sj",2009,52,19
"sj",2010,53,17
"sj",2010,1,7
"sj",2010,2,7
"sj",2010,3,5
"sj",2010,4,6
"sj",2010,5,6
"sj",2010,6,7
"sj",2010,7,8
"sj",2010,8,10
"sj",2010,9,9
"sj",2010,10,10
"sj",2010,11,10
"sj",2010,12,12
"sj",2010,13,10
"sj",2010,14,11
"sj",2010,15,8
"sj",2010,16,10
"sj",2010,17,12
"sj",2010,18,13
"sj",2010,19,11
"sj",2010,20,10
"sj",2010,21,12
"sj",2010,22,18
"sj",2010,23,15
"sj",2010,24,13
"sj",2010,25,15
"sj",2010,26,14
"sj",2010,27,14
"sj",2010,28,16
"sj",2010,29,16
"sj",2010,30,12
"sj",2010,31,15
"sj",2010,32,21
"sj",2010,33,20
"sj",2010,34,19
"sj",2010,35,26
"sj",2010,36,20
"sj",2010,37,18
"sj",2010,38,19
"sj",2010,39,17
"sj",2010,40,17
"sj",2010,41,18
"sj",2010,42,15
"sj",2010,43,22
"sj",2010,44,20
"sj",2010,45,19
"sj",2010,46,16
"sj",2010,47,15
"sj",2010,48,14
"sj",2010,49,10
"sj",2010,50,15
"sj",2010,51,15
"sj",2011,52,11
"sj",2011,1,4
"sj",2011,2,5
"sj",2011,3,5
"sj",2011,4,5
"sj",2011,5,6
"sj",2011,6,5
"sj",2011,7,6
"sj",2011,8,5
"sj",2011,9,5
"sj",2011,10,5
"sj",2011,11,5
"sj",2011,12,5
"sj",2011,13,6
"sj",2011,14,6
"sj",2011,15,7
"sj",2011,16,5
"sj",2011,17,8
"sj",2011,18,7
"sj",2011,19,7
"sj",2011,20,14
"sj",2011,21,13
"sj",2011,22,9
"sj",2011,23,9
"sj",2011,24,15
"sj",2011,25,11
"sj",2011,26,12
"sj",2011,27,11
"sj",2011,28,9
"sj",2011,29,11
"sj",2011,30,13
"sj",2011,31,12
"sj",2011,32,12
"sj",2011,33,13
"sj",2011,34,14
"sj",2011,35,13
"sj",2011,36,14
"sj",2011,37,15
"sj",2011,38,16
"sj",2011,39,12
"sj",2011,40,14
"sj",2011,41,15
"sj",2011,42,15
"sj",2011,43,17
"sj",2011,44,14
"sj",2011,45,14
"sj",2011,46,19
"sj",2011,47,12
"sj",2011,48,12
"sj",2011,49,10
"sj",2011,50,11
"sj",2011,51,10
"sj",2012,52,10
"sj",2012,1,5
"sj",2012,2,5
