"city","year","weekofyear","total_cases"
"sj",2008,18,7
"sj",2008,19,8
"sj",2008,20,9
"sj",2008,21,21
"sj",2008,22,13
"sj",2008,23,10
"sj",2008,24,10
"sj",2008,25,24
"sj",2008,26,16
"sj",2008,27,16
"sj",2008,28,14
"sj",2008,29,17
"sj",2008,30,23
"sj",2008,31,30
"sj",2008,32,48
"sj",2008,33,63
"sj",2008,34,51
"sj",2008,35,61
"sj",2008,36,92
"sj",2008,37,71
"sj",2008,38,69
"sj",2008,39,64
"sj",2008,40,72
"sj",2008,41,66
"sj",2008,42,71
"sj",2008,43,51
"sj",2008,44,41
"sj",2008,45,47
"sj",2008,46,59
"sj",2008,47,45
"sj",2008,48,31
"sj",2008,49,25
"sj",2008,50,26
"sj",2008,51,27
"sj",2008,52,21
"sj",2009,1,17
"sj",2009,2,14
"sj",2009,3,17
"sj",2009,4,13
"sj",2009,5,20
"sj",2009,6,12
"sj",2009,7,10
"sj",2009,8,10
"sj",2009,9,10
"sj",2009,10,7
"sj",2009,11,6
"sj",2009,12,7
"sj",2009,13,5
"sj",2009,14,7
"sj",2009,15,5
"sj",2009,16,5
"sj",2009,17,7
"sj",2009,18,7
"sj",2009,19,5
"sj",2009,20,9
"sj",2009,21,11
"sj",2009,22,20
"sj",2009,23,12
"sj",2009,24,10
"sj",2009,25,13
"sj",2009,26,12
"sj",2009,27,17
"sj",2009,28,24
"sj",2009,29,27
"sj",2009,30,39
"sj",2009,31,37
"sj",2009,32,45
"sj",2009,33,52
"sj",2009,34,54
"sj",2009,35,74
"sj",2009,36,76
"sj",2009,37,64
"sj",2009,38,66
"sj",2009,39,54
"sj",2009,40,82
"sj",2009,41,87
"sj",2009,42,72
"sj",2009,43,68
"sj",2009,44,49
"sj",2009,45,38
"sj",2009,46,30
"sj",2009,47,55
"sj",2009,48,46
"sj",2009,49,54
"sj",2009,50,28
"sj",2009,51,34
"sj",2009,52,24
"sj",2010,53,25
"sj",2010,1,21
"sj",2010,2,18
"sj",2010,3,25
"sj",2010,4,19
"sj",2010,5,11
"sj",2010,6,14
"sj",2010,7,15
"sj",2010,8,11
"sj",2010,9,16
"sj",2010,10,13
"sj",2010,11,10
"sj",2010,12,25
"sj",2010,13,11
"sj",2010,14,10
"sj",2010,15,8
"sj",2010,16,10
"sj",2010,17,16
"sj",2010,18,25
"sj",2010,19,9
"sj",2010,20,13
"sj",2010,21,17
"sj",2010,22,49
"sj",2010,23,29
"sj",2010,24,34
"sj",2010,25,35
"sj",2010,26,39
"sj",2010,27,39
"sj",2010,28,46
"sj",2010,29,49
"sj",2010,30,51
"sj",2010,31,42
"sj",2010,32,83
"sj",2010,33,73
"sj",2010,34,87
"sj",2010,35,101
"sj",2010,36,96
"sj",2010,37,62
"sj",2010,38,75
"sj",2010,39,66
"sj",2010,40,59
"sj",2010,41,72
"sj",2010,42,71
"sj",2010,43,76
"sj",2010,44,43
"sj",2010,45,46
"sj",2010,46,24
"sj",2010,47,27
"sj",2010,48,24
"sj",2010,49,28
"sj",2010,50,22
"sj",2010,51,22
"sj",2011,52,19
"sj",2011,1,15
"sj",2011,2,21
"sj",2011,3,19
"sj",2011,4,17
"sj",2011,5,14
"sj",2011,6,12
"sj",2011,7,12
"sj",2011,8,11
"sj",2011,9,10
"sj",2011,10,7
"sj",2011,11,8
"sj",2011,12,5
"sj",2011,13,9
"sj",2011,14,10
